CMPD_CHEMBLID	MOLWEIGHT	ALOGP	PSA	CANONICAL_SMILES	STANDARD_TYPE	STANDARD_VALUE	STANDARD_UNITS
CHEMBL3950778	554.41	5.97	101.63	OC(=NCC1CCOC1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	4.66	nM
CHEMBL3666248	482.47	4.42	115.79	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(cc3)C(F)(F)F)c2)c4cnc(N)nc14	IC50	4.69	nM
CHEMBL3984865	544.4	5.79	118.18	OC(=NCc1cnccn1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	4.98	nM
CHEMBL3678297	522.53	5.63	93.01	COc1cc(ccc1OCc2ccc(cc2)C(F)(F)F)[C@H](C)n3c(N)nc4cc(cnc34)c5cnn(C)c5	IC50	5	nM
CHEMBL3980190	466.46	6.09	80.37	CC(C)n1cc(C(=O)c2ccnc(c2)N=C(O)Cc3ccc(cc3)C(F)(F)F)c4cnccc14	IC50	5.3	nM
CHEMBL3671388	425.45	3.77	118.45	CC(C)n1cc(C(=O)c2cncc(NC(=O)c3[nH]nc4ccccc34)c2)c5cncnc15	IC50	5.45	nM
CHEMBL3676021	430.44	0.7	125.11	COc1ncc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=O)NC[C@@H](O)CO)c4n3	IC50	5.7	nM
CHEMBL3673481	467.53	4.72	97.31	COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5ccccc5)cc2OC)cn1	IC50	6	nM
CHEMBL3676020	430.44	0.7	125.11	COc1ncc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=O)NCC(O)CO)c4n3	IC50	6.1	nM
CHEMBL3942676	540.38	5.46	112.63	OC(=NCC1(O)CC1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	6.37	nM
CHEMBL3978831	566.38	5.83	131.32	Cc1oc(CN=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5)nn1	IC50	6.96	nM
CHEMBL3902802	424.48	3.21	99.14	OC1CCC(CC1)N=C(O)c2cnn3ccc(nc23)N4CCC[C@@H]4c5cncc(F)c5	IC50	7	nM
CHEMBL3976517	482.46	5.97	89.6	CC(C)n1cc(C(=O)c2ccnc(c2)N=C(O)Cc3cccc(OC(F)(F)F)c3)c4cnccc14	IC50	7.41	nM
CHEMBL3956444	533.38	5.99	118.43	OC(=NCc1cocn1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	7.64	nM
CHEMBL3673461	489.53	3.52	111.83	COc1ccc(COc2ccc(Cn3cnc4cc(cnc34)N5CCC[C@H]5C(=O)O)cc2OC)cn1	IC50	8	nM
CHEMBL3905830	493.9	5.59	92.4	OC(=NC1CC1)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	8.87	nM
CHEMBL3676105	450.48	3.15	113.33	CCc1cc(NC(=O)c2cnn3ccc(nc23)N4CCCC4c5cc(F)cnc5OC)[nH]n1	IC50	9	nM
CHEMBL3298267	464.53	4.14	95.45	Cc1cn(cn1)c2ccc(cc2)c3cn(CC(=O)Nc4cc(nn4c5ccccc5)C6CC6)nn3	IC50	9	nM
CHEMBL2037225	517.51	7.22	98.05	Cc1ccc(NC(=O)Nc2cccc(c2)C(F)(F)F)cc1Nc3ccc4\C(=C\c5ccc[nH]5)\C(=O)Nc4c3	IC50	9	nM
CHEMBL3948987	541.97	5.46	131.31	Nc1cccc(CN=C(O)c2cc(NC(=O)c3cc(ccc3Cl)c4ncccc4F)n(n2)c5ccccc5)n1	IC50	9.42	nM
CHEMBL3671403	485.43	2.39	127.82	OCC1(CC1)n2cc(C(=O)c3cncc(NC(=O)Cn4ccc(n4)C(F)(F)F)c3)c5cncnc25	IC50	9.48	nM
CHEMBL3952175	474.42	4.89	98.19	CC(C)n1cc(C(=O)c2cncc(c2)N=C(O)Cn3cc(cn3)C(F)(F)F)c4cncc(F)c14	IC50	9.66	nM
CHEMBL254268	488.44	5.49	81.91	CN(CCC#N)C(=O)c1cc(Sc2cnc(Nc3cccc(Br)n3)s2)ccc1C	IC50	10	nM
CHEMBL3671413	462.49	3.15	111.89	COCC(C)(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(F)cn3)c2)c4cncnc14	IC50	10.6	nM
CHEMBL3961511	510.38	5.18	112.63	C[C@H](O)CN=C(O)c1cc(NC(=O)c2cc(c(Cl)cc2Cl)c3ccccn3)n(n1)c4ccccc4	IC50	10.69	nM
CHEMBL3676096	454.51	1.94	104.76	CN1C=C(F)C=C([C@H]2CCCN2c3ccn4ncc(C(=O)N[C@@H]5CCCC[C@H]5O)c4n3)C1=O	IC50	10.7	nM
CHEMBL3919036					IC50	10.9	nM
CHEMBL3676102	436.45	2.9	113.33	COc1ncc(F)cc1C2CCCN2c3ccn4ncc(C(=O)Nc5cc(C)n[nH]5)c4n3	IC50	11.3	nM
CHEMBL3958930					IC50	12.24	nM
CHEMBL3676089	398.44	2.05	84.53	CC(C)NC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3C4=CC(=CN(C)C4=O)F	IC50	12.3	nM
CHEMBL3676067	438.51	2.81	95.65	CCc1ncc(F)cc1C2CCCN2c3ccn4ncc(C(=O)N[C@H]5CC[C@H](O)C5)c4n3	IC50	12.7	nM
CHEMBL3937102	548.94	4.75	123.11	Cn1nncc1CN=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	12.7	nM
CHEMBL3923892	562.39	5.93	118.18	OC(=NCc1cnccn1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccc(F)cn4)n(n2)c5ccccc5	IC50	13.4	nM
CHEMBL3899398	552.42	4.95	121.86	OCCC1(COC1)N=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	13.7	nM
CHEMBL3676071	455.49	2.84	104.21	CC1(C)OCC(COc2ccc(F)cc2[C@H]3CCCN3c4ccn5ncc(C(=O)N)c5n4)O1	IC50	14.3	nM
CHEMBL456985	429.89	3.9	107.62	CNC(=O)C[C@H](Nc1ncc(Cl)c(Nc2cc([nH]n2)C3CC3)n1)c4ccc(F)cc4	IC50	15	nM
CHEMBL3666263	544.54	3.34	153.84	CC(C)n1ncc(CC(=O)Nc2cncc(c2)C(=O)c3cn(c4nc(N)ncc34)C(C)(C)CO)c1C(F)(F)F	IC50	16.8	nM
CHEMBL3939460	541.6	5.09	111.08	CC(C)(C)OC(=NC1CCN(CC1)C(=Nc2cnc3ccc(nn23)N4CCC[C@H]4c5cc(F)ccc5F)O)O	IC50	17.2	nM
CHEMBL3982749	539.97	5.58	112.63	CC(C)(O)CCN=C(O)c1cc(NC(=O)c2cc(c(F)cc2Cl)c3ncccc3F)n(n1)c4ccccc4	IC50	18.1	nM
CHEMBL3945038	449.87	4.91	92.4	CN=C(O)c1cc(NC(=O)c2cc(c(F)cc2Cl)c3ccccn3)n(n1)c4ccccc4	IC50	18.2	nM
CHEMBL3661493	439.48	3.7	118.45	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc4cn[nH]c4c3)c2)c5cncnc15	IC50	19.5	nM
CHEMBL3671410	499.45	3.69	119.23	C[C@@H](CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(OC(F)(F)F)cc3)c2)c4cncnc14	IC50	20.3	nM
CHEMBL3974383					IC50	20.41	nM
CHEMBL2152272	301.35	4.3	50.8	COc1cccc(c1)c2cnc3[nH]cc(c4ccncc4)c3c2	IC50	22.7	nM
CHEMBL3934896	448.42	4.24	69.26	OC(=Nc1cnc2ccc(nn12)N3CCC[C@H]3c4cc(F)ccc4F)N5CCC(F)(F)C5	IC50	22.7	nM
CHEMBL3945668	554.41	5.97	101.63	OC(=NCC1CCOC1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccc(F)cn4)n(n2)c5ccccc5	IC50	22.8	nM
CHEMBL3890687	533.38	5.12	133.97	OC(=NCc1cnn[nH]1)c2cc(NC(=O)c3cc(ccc3Cl)c4ncccc4Cl)n(n2)c5ccccc5	IC50	23.14	nM
CHEMBL3900975	513.55	4.31	111.08	CC(C)(C)OC(=NC1CN(C1)C(=Nc2cnc3ccc(nn23)N4CCC[C@H]4c5cc(F)ccc5F)O)O	IC50	23.2	nM
CHEMBL3917194	450.9	5.87	80.37	CC(C)n1cc(C(=O)c2cc(ccn2)N=C(O)Cc3ccc(Cl)cc3)c4cncc(F)c14	IC50	23.3	nM
CHEMBL3661499	432.49	2.99	120.48	CC(C)c1cn(CC(=O)Nc2cncc(c2)C(=O)c3cn(C(C)C)c4ncncc34)nn1	IC50	25.6	nM
CHEMBL3967035	542	5.82	130.31	COc1cc(Cl)c(cc1c2ccccn2)C(=O)Nc3cc(nn3c4ccccc4)C(=Nc5c(C)n[nH]c5C)O	IC50	26.4	nM
CHEMBL3426225	576.63	4.16	105.2	CCn1nc(C#Cc2cc(ccc2C)C(=O)Nc3ccc(CN4CCN(C)CC4)c(c3)C(F)(F)F)c5c(N)ncnc15	IC50	27	nM
CHEMBL3941732	556.99	5.89	114.52	COc1ccc(CN=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5)cn1	IC50	27.5	nM
CHEMBL3964691	469.54	3.82	81.29	CC(C)[C@@H]1CN(CCN1)C(=Nc2cnc3ccc(nn23)N4CCC[C@H]4c5cc(F)ccc5F)O	IC50	27.7	nM
CHEMBL3922093	531.94	5.18	131.32	Cc1oc(CN=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5)nn1	IC50	28	nM
CHEMBL2113065	452.47	2.97	111.51	C[C@]12O[C@H](C[C@@]1(O)C(=O)N)n3c4ccccc4c5c6C(=O)NCc6c7c8ccccc8n2c7c35	IC50	29	nM
CHEMBL3947031	490.42	3.86	118.42	CC(CO)n1cc(C(=O)c2cncc(c2)N=C(O)Cn3ccc(n3)C(F)(F)F)c4cncc(F)c14	IC50	29.7	nM
CHEMBL3960808	426.47	4.08	78.05	C[C@]1(CCCN1)C(=Nc2cnn3ccc(nc23)N4CCC[C@H]4c5cc(F)ccc5F)O	IC50	31	nM
CHEMBL3661604	481.52	2.92	148.91	CC(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc4cccnc4c3)c2)c5cnc(N)nc15	IC50	31.6	nM
CHEMBL2152273	328.38	4.25	70.67	CC(=O)Nc1cccc(c1)c2cnc3[nH]cc(c4ccncc4)c3c2	IC50	34.3	nM
CHEMBL3666424	455.48	3.78	127.68	COc1ccc2[nH]c(nc2c1)C(=O)Nc3cncc(c3)C(=O)c4cn(C(C)C)c5ncncc45	IC50	36.6	nM
CHEMBL3675984	384.42	1.72	95.65	C[C@@H](O)CNC(=O)c1cnn2ccc(nc12)N3CCCC3c4cncc(F)c4	IC50	37.2	nM
CHEMBL3671146	413.43	2.56	73.97	O[C@H]1CCN(C1)C(=O)c2cnn3ccc(nc23)N4CCC[C@@H]4c5cc(F)ccc5F	IC50	38.3	nM
CHEMBL3981123	465.46	3.89	113.49	CC(C)(CO)n1cc(C(=O)c2cncc(c2)N=C(O)Cc3ccc(F)cn3)c4cncc(F)c14	IC50	38.7	nM
CHEMBL3666401	425.45	3.77	118.45	CC(C)n1cc(C(=O)c2cncc(NC(=O)c3ccc4cc[nH]c4n3)c2)c5cncnc15	IC50	40.2	nM
CHEMBL3890415	522.94	4.74	95.64	CN1CC(C1)N=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	41.2	nM
CHEMBL3908560	505.94	5.07	101.63	OC(=N[C@H]1CCOC1)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	41.7	nM
CHEMBL3666287	503.56	5.05	106.84	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3cccc(c3)C(=O)c4ccccc4)c2)c5cncnc15	IC50	43.1	nM
CHEMBL3968965	501.91	5.34	121.08	OC(=Nc1cn[nH]c1)c2cc(NC(=O)c3cc(ccc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	43.92	nM
CHEMBL3671397	515.5	4.2	116.82	CCOc1ncc(cc1NC(=O)Cn2nc(cc2C)C(F)(F)F)C(=O)c3cn(C(C)C)c4ncncc34	IC50	47.9	nM
CHEMBL3676086	381.42	2.03	92.65	Nc1ncc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=O)N5CCC5)c4n3	IC50	49.3	nM
CHEMBL211880	384.91	3.89	97.11	CC[C@H](Sc1nsc(NC(=O)NC)c1C(=O)N)c2ccc(Cl)cc2	IC50	52	nM
CHEMBL3905559	521.94	4.05	121.86	OCC1(COC1)N=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	52.3	nM
CHEMBL3666258	514.51	4.2	133.61	CC(C)n1cc(CC(=O)Nc2cncc(c2)C(=O)c3cn(C(C)C)c4nc(N)ncc34)c(n1)C(F)(F)F	IC50	52.6	nM
CHEMBL3666279	500.34	3.07	130.23	OCC(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(Cl)cc3Cl)c2)c4cncnc14	IC50	54.3	nM
CHEMBL3962529	548.96	4.74	121.94	OC(=NCCN1CCOC1=O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	56.5	nM
CHEMBL3676054	354.39	2.27	75.42	CNC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cc(F)cnc4C	IC50	57.1	nM
CHEMBL3932480	493.93	4.66	112.63	C[C@H](O)CN=C(O)c1cc(NC(=O)c2cc(ccc2Cl)c3ncccc3F)n(n1)c4ccccc4	IC50	61.7	nM
CHEMBL3923463	539.95	3	153.09	OCC(CO)(CO)N=C(O)c1cc(NC(=O)c2cc(c(F)cc2Cl)c3ccccn3)n(n1)c4ccccc4	IC50	62.8	nM
CHEMBL3935113	507.95	5.05	112.63	CC(C)(CO)N=C(O)c1cc(NC(=O)c2cc(ccc2Cl)c3ncccc3F)n(n1)c4ccccc4	IC50	63.95	nM
CHEMBL3661511	468.52	4.31	114.79	COc1ccc2[nH]cc(CC(=O)Nc3cncc(c3)C(=O)c4cn(C(C)C)c5ncncc45)c2c1	IC50	68.4	nM
CHEMBL3902877	521.94	4.05	121.86	OC(=NCC1(O)COC1)c2cc(NC(=O)c3cc(ccc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	73.7	nM
CHEMBL3661626	480.91	1.99	143.12	CC(CO)(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(Cl)cn3)c2)c4cncnc14	IC50	73.9	nM
CHEMBL3661541	487.95	4.36	107.59	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3nn(C)c4cc(Cl)ccc34)c2)c5cncnc15	IC50	76.4	nM
CHEMBL3928404	700.62	8.06	138.61	OC(=Nc1cnc(Oc2ccc(cc2)c3cnc(s3)N4CCCCC4=O)nc1)Nc5cc(cnc5c6ccc(nc6)C(F)(F)F)C(F)(F)F	IC50	93	nM
CHEMBL3910311	467.89	4.23	113.49	CC(CO)n1cc(C(=O)c2cncc(c2)N=C(O)Cc3ccc(Cl)cn3)c4cncc(F)c14	IC50	93.3	nM
CHEMBL3661542	472.94	4.95	105.56	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3c[nH]c4c(Cl)cccc34)c2)c5cncnc15	IC50	93.4	nM
CHEMBL3975626	533.01	4.76	83.36	CN(C)[C@H]1CCN(C1)C(=O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	93.6	nM
CHEMBL3661481	440.47	3.02	120.48	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cn3ncc4ncccc34)c2)c5cncnc15	IC50	95.5	nM
CHEMBL3661520	473.92	4.12	107.07	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3cn4cc(Cl)ccc4n3)c2)c5cncnc15	IC50	95.7	nM
CHEMBL3666355	479.95	4.18	107.07	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3cn4cc(Cl)sc4n3)c2)c5cncnc15	IC50	97	nM
CHEMBL3673452	470.53	4.06	102.24	COc1ccc(COc2ccc(Cn3c(N)nc4cc(cnc34)c5cnn(C)c5)cc2OC)cc1	IC50	0.3	nM
CHEMBL3671153	437.45	3.04	91.21	Fc1ccc(F)c(c1)[C@H]2CCCN2c3ccn4ncc(C(=O)NCCc5cnc[nH]5)c4n3	IC50	0.4	nM
CHEMBL211095	362.48	3.29	111.1	NC(=O)Nc1snc(S[C@@H]2CCCCc3ccccc23)c1C(=O)N	IC50	1	nM
CHEMBL3904509	623.6	6.93	125.95	OC(=Nc1cnc(Oc2ccc(cc2)c3cnn4ccc(nc34)N5CCC5)nc1)Nc6cc(ccc6c7cccnc7)C(F)(F)F	IC50	1	nM
CHEMBL3910954	568.52	6.72	122.71	OC(=Nc1cnc(Oc2ccc(cc2)c3cnc4cnccn34)nc1)Nc5cc(ccc5c6cccnc6)C(F)(F)F	IC50	1	nM
CHEMBL3666259	512.49	3.57	136.02	CC(C)(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3cccc(c3)C(F)(F)F)c2)c4cnc(N)nc14	IC50	1.09	nM
CHEMBL3963962	558.43	5.81	132.04	OC(=NCC1=CC(=N)NC=C1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	1.17	nM
CHEMBL3675916	410.43	3.38	86.32	CC(C)(NC(=O)c1cnn2ccc(nc12)N3CCCC3c4cc(F)ccc4F)C#N	IC50	1.3	nM
CHEMBL3326006	476.67	4.53	69.45	CCCCNc1ncc2c(cn([C@@H]3CC[C@@H](O)CC3)c2n1)c4ccc(CN5CCN(C)CC5)cc4	IC50	1.67	nM
CHEMBL3676074	455.49	1.83	112.22	OCC(O)COc1cc(F)cc(c1)[C@H]2CCCN2c3ccn4ncc(C(=O)NC5CC5)c4n3	IC50	1.7	nM
CHEMBL3676045	401.42	2.46	82.76	C[C@@H](CO)NC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cc(F)ccc4F	IC50	1.8	nM
CHEMBL254267	474.41	5.1	81.91	CN(CC#N)C(=O)c1cc(Sc2cnc(Nc3cccc(Br)n3)s2)ccc1C	IC50	2	nM
CHEMBL3676036	401.42	2.46	82.76	C[C@@H](O)CNC(=O)c1cnn2ccc(nc12)N3CCCC3c4cc(F)ccc4F	IC50	2.2	nM
CHEMBL3671404	468.52	3.45	144.47	CC(C)(C)n1cc(C(=O)c2cncc(NC(=O)Cc3nc4ccccc4[nH]3)c2)c5cnc(N)nc15	IC50	2.25	nM
CHEMBL3671149	437.45	3.01	80.35	Cn1cnc(CNC(=O)c2cnn3ccc(nc23)N4CCC[C@@H]4c5cc(F)ccc5F)c1	IC50	2.95	nM
CHEMBL3671419	447.93	4.65	89.77	CC(C)(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(Cl)cc3)c2)c4cncnc14	IC50	2.95	nM
CHEMBL3678292	484.56	4.62	102.24	COc1ccc(COc2ccc(cc2OC)C(C)n3c(N)nc4cc(ccc34)c5cnn(C)c5)cn1	IC50	3	nM
CHEMBL3937084	483.55	4.68	94.17	CC(C)N=C1NC(=CS1)C(=Nc2cnn3ccc(nc23)N4CCC[C@H]4c5cc(F)ccc5F)O	IC50	3.1	nM
CHEMBL3676076	455.49	1.83	112.22	OCC(O)COc1ccc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=O)NC5CC5)c4n3	IC50	3.3	nM
CHEMBL3933210	540.38	5.46	112.63	OCC1(CC1)N=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	3.41	nM
CHEMBL3675964	399.43	2.33	94.98	COCCOc1ccc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=O)N)c4n3	IC50	3.6	nM
CHEMBL3659502	415.86	4.29	93.54	CC(C)Oc1cc(n[nH]1)n2cnc3cc(Cl)c(N[C@@H](C)c4ccc(F)cn4)nc23	IC50	4	nM
CHEMBL3962074	591.62	7.29	120.67	CCN=C1NC=C(S1)c2ccc(Oc3ncc(cn3)N=C(O)Nc4cc(cnc4c5ccc(C)cc5)C(F)(F)F)cc2	IC50	4	nM
CHEMBL3661462	467.45	4.84	89.77	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(cc3)C(F)(F)F)c2)c4cncnc14	IC50	4.15	nM
CHEMBL3661606	498.47	3.39	136.02	CC(CO)n1cc(C(=O)c2cncc(NC(=O)Cc3cccc(c3)C(F)(F)F)c2)c4cnc(N)nc14	IC50	4.4	nM
CHEMBL3957376	514.48	5.38	100.6	CC(C)(CO)n1cc(C(=O)c2cncc(c2)N=C(O)Cc3cccc(c3)C(F)(F)F)c4cncc(F)c14	IC50	4.41	nM
CHEMBL3942060	540.38	5.46	112.63	O[C@@H]1C[C@H](C1)N=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	4.69	nM
CHEMBL3661491	457.42	3.49	107.59	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cn3ccc(n3)C(F)(F)F)c2)c4cncnc14	IC50	4.86	nM
CHEMBL3975484	551.37	6.13	118.43	OC(=NCc1ccon1)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	5.15	nM
CHEMBL3666256	472.43	3.07	133.61	CC(C)n1cc(C(=O)c2cncc(NC(=O)Cn3ccc(n3)C(F)(F)F)c2)c4cnc(N)nc14	IC50	5.18	nM
CHEMBL3666395	439.48	4.08	118.45	CC(C)n1cc(C(=O)c2cncc(NC(=O)c3c[nH]c4ncc(C)cc34)c2)c5cncnc15	IC50	5.18	nM
CHEMBL3675970	421.41	3.39	88.31	Fc1ccc(NC(=O)c2cnn3ccc(nc23)N4CCC[C@@H]4c5cncc(F)c5)nc1	IC50	5.4	nM
CHEMBL3666427	414.47	3.85	102.66	CCc1ccnc(c1)C(=O)Nc2cncc(c2)C(=O)c3cn(C(C)C)c4ncncc34	IC50	5.51	nM
CHEMBL3970836	540.38	5.73	101.63	CC1(COC1)N=C(O)c2cc(NC(=O)c3cc(c(Cl)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	5.95	nM
CHEMBL3671461	457.47	2.86	128.68	Nc1ncc2c(cn(c2n1)C34CC(C3)C4)C(=O)c5cncc(NC(=O)Cc6ccc(F)cn6)c5	IC50	6.07	nM
CHEMBL3954365	529.96	5.96	121.08	Cc1n[nH]c(C)c1N=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	6.14	nM
CHEMBL3942203	528.37	5.32	112.63	CC(CO)N=C(O)c1cc(NC(=O)c2cc(c(Cl)cc2Cl)c3ncccc3F)n(n1)c4ccccc4	IC50	6.32	nM
CHEMBL3675997	394.45	3.13	75.42	C[C@@H](NC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cncc(F)c4)C5CC5	IC50	6.4	nM
CHEMBL3941491	566.01	6.12	112.63	CC1(O)CCC(CC1)N=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ncccc4F)n(n2)c5ccccc5	IC50	6.72	nM
CHEMBL3676063	424.48	2.56	95.65	Cc1ncc(F)cc1C2CCCN2c3ccn4ncc(C(=O)N[C@H]5CC[C@H](O)C5)c4n3	IC50	6.8	nM
CHEMBL3676051	396.47	3.44	75.42	Cc1ncc(F)cc1[C@H]2CCCN2c3ccn4ncc(C(=O)NC(C)(C)C)c4n3	IC50	6.9	nM
CHEMBL3675950	355.37	2.5	71.76	CONC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cccc(F)c4	IC50	6.95	nM
CHEMBL2037208	488.47	6.52	86.02	FC(F)(F)c1cccc(c1)C(=O)Nc2cccc(Nc3ccc4\C(=C\c5ccc[nH]5)\C(=O)Nc4c3)c2	IC50	7	nM
CHEMBL2037224	503.48	6.91	98.05	FC(F)(F)c1cccc(NC(=O)Nc2cccc(Nc3ccc4\C(=C\c5ccc[nH]5)\C(=O)Nc4c3)c2)c1	IC50	7	nM
CHEMBL3895402	541.97	5.83	118.18	CC(N=C(O)c1cc(NC(=O)c2cc(c(F)cc2Cl)c3ccccn3)n(n1)c4ccccc4)c5cncnc5	IC50	7.46	nM
CHEMBL211883	382.9	3.43	97.11	CNC(=O)Nc1snc(SC2CCc3cc(Cl)ccc23)c1C(=O)N	IC50	8	nM
CHEMBL427901	425.49	4.81	83.22	CCNC(=O)O[C@@H](C)[C@H]1c2ccccc2c3c1c4[nH]c5ccccc5c4c6CNC(=O)c36	IC50	8	nM
CHEMBL3980356	528.37	5.58	101.63	COCCN=C(O)c1cc(NC(=O)c2cc(c(Cl)cc2Cl)c3ncccc3F)n(n1)c4ccccc4	IC50	9	nM
CHEMBL3902577	566.38	5.42	148.78	CN=C(O)C(N=C(O)c1cc(NC(=O)c2cc(c(Cl)cc2Cl)c3ncccc3F)n(n1)c4ccccc4)C#N	IC50	9.13	nM
CHEMBL3675960	494.57	2.81	84.23	Fc1cc(OCCN2CCOCC2)cc(c1)[C@H]3CCCN3c4ccn5ncc(C(=O)NC6CC6)c5n4	IC50	9.38	nM
CHEMBL3965077	414.42	2.57	89.49	OC1CN(C1)C(=Nc2cnc3ccc(nn23)N4CCC[C@H]4c5cc(F)ccc5F)O	IC50	9.4	nM
CHEMBL3671431	551.63	1.94	173.4	CN(c1ccc(CC(=O)Nc2cncc(c2)C(=O)c3cn(c4nc(N)ncc34)C(C)(C)CO)cc1)S(=O)(=O)C	IC50	9.47	nM
CHEMBL3978304	548.02	5.98	112.63	CC1(O)CCC(CC1)N=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ccccn4)n(n2)c5ccccc5	IC50	9.77	nM
CHEMBL3675930	382.44	3.13	75.42	CC(C)(C)NC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cncc(F)c4	IC50	10.4	nM
CHEMBL3671413	462.49	3.15	111.89	COCC(C)(C)n1cc(C(=O)c2cncc(NC(=O)Cc3ccc(F)cn3)c2)c4cncnc14	IC50	10.6	nM
CHEMBL3671408	455.48	2.6	127.82	C[C@@H](CO)n1cc(C(=O)c2cncc(NC(=O)Cn3cc4ccccc4n3)c2)c5cncnc15	IC50	11.1	nM
CHEMBL3986217	547.95	5.36	110.22	Cn1cc(CN=C(O)c2cc(NC(=O)c3cc(c(F)cc3Cl)c4ncccc4F)n(n2)c5ccccc5)cn1	IC50	12	nM
CHEMBL3966401	456.45	1.88	103.07	O[C@H]1CCN(C1)C(=O)C(=O)Nc2cnn3ccc(nc23)N4CCC[C@@H]4c5cc(F)ccc5F	IC50	12.75	nM
CHEMBL3675999	412.47	2.35	95.65	CC(C)(CO)CNC(=O)c1cnn2ccc(nc12)N3CCC[C@@H]3c4cncc(F)c4	IC50	12.8	nM
CHEMBL281948	467.48	3.66	94.72	COC(=O)[C@@]1(O)C[C@H]2O[C@]1(C)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	IC50	13	nM
